序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1994/12/31,松山,2.9,1.17,11.2,-,48,57,28.99,27.71,-,-,-,16.23,-,-,48.0
2,臺北市,1994/12/31,古亭,2.4,1.59,7.2,-,64,71,37.62,37.66,2.99,0.47,2.51,16.54,-,-,57.0
3,臺北市,1994/12/31,中山,3.4,1.44,6.6,-,53,78,42.1,35.63,2.85,0.46,2.39,16.51,-,-,52.0
4,臺北市,1994/12/31,大同,12.4,4.76,-,-,86,264,212.33,51.36,4.94,2.3,2.64,16.99,-,-,68.0
5,臺北市,1994/12/31,萬華,3.1,1.56,7.2,-,52,60,24.52,35.27,-,-,-,16.58,-,-,51.0
6,臺北市,1994/12/31,陽明,0.4,0.31,38.4,-,11,1,0.05,1.09,-,-,-,9.15,-,97.0,34.0
7,臺北市,1994/12/31,士林,2.2,1.08,13.4,-,50,48,22.83,25.55,-,-,-,16.45,-,-,50.0
8,臺北市,1994/12/30,松山,7.3,1.61,6.3,-,57,83,40.45,42.88,-,-,-,18.02,-,-,54.0
9,臺北市,1994/12/30,古亭,4.9,1.51,10.5,-,53,68,31.13,36.57,2.37,0.41,1.96,18.37,-,-,52.0
10,臺北市,1994/12/30,中山,4.3,1.34,8.4,-,53,63,25.01,37.6,-,-,-,18.27,-,-,51.0
11,臺北市,1994/12/30,大同,8.6,2.84,-,-,59,126,81.97,44.07,3.89,1.46,2.43,18.48,-,-,54.0
12,臺北市,1994/12/30,萬華,4.5,1.1,12.4,-,40,45,13.12,31.44,-,-,-,18.15,-,-,40.0
13,臺北市,1994/12/30,陽明,0.2,0.22,39.6,-,11,1,0.34,0.86,-,-,-,12.32,-,100.0,34.0
14,臺北市,1994/12/30,士林,1.7,0.72,15.2,-,36,35,11.85,22.83,-,-,-,18.37,-,-,36.0
15,臺北市,1994/12/29,松山,8.6,0.97,9.6,-,24,51,18.74,32.53,-,-,-,16.41,-,-,24.0
16,臺北市,1994/12/29,古亭,5.3,0.91,16.0,-,46,40,12.87,27.44,2.0,0.14,1.86,16.86,-,-,46.0
17,臺北市,1994/12/29,中山,8.0,1.47,9.5,-,29,70,34.86,35.18,-,-,-,17.11,-,-,29.0
