序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1997/09/30,松山,6.6,0.99,11.5,-,21,-,47.68,11.4,36.28,-,-,-,23.73,-,-,22.0
2,臺北市,1997/09/30,古亭,5.4,0.93,16.7,-,27,14,39.76,11.15,28.61,2.175,0.2,1.97,23.89,-,-,27.0
3,臺北市,1997/09/30,中山,5.7,1.15,14.1,-,26,-,49.52,15.84,33.69,2.436,0.36,2.08,24.79,-,-,26.0
4,臺北市,1997/09/30,大同,9.3,5.56,-,-,52,-,189.46,147.11,42.36,4.59,2.48,2.11,25.52,-,-,88.0
5,臺北市,1997/09/30,萬華,5.5,-,16.0,-,115,-,36.17,6.12,30.05,-,-,-,23.87,-,-,30.0
6,臺北市,1997/09/30,陽明,1.3,0.24,45.4,-,-,-,1.92,0.05,1.87,-,-,-,19.38,-,97.0,43.0
7,臺北市,1997/09/30,士林,2.6,0.61,25.4,-,18,-,17.01,2.1,14.91,-,-,-,24.86,-,-,25.0
8,臺北市,1997/09/29,松山,4.8,0.94,10.1,-,21,-,48.94,10.28,38.66,-,-,-,21.06,-,-,21.0
9,臺北市,1997/09/29,古亭,3.9,0.99,12.9,-,19,15,45.52,12.48,33.04,2.203,0.18,2.03,20.63,-,-,19.0
10,臺北市,1997/09/29,中山,5.2,1.16,10.2,-,24,-,57.43,18.49,38.94,2.529,0.32,2.21,21.63,-,-,24.0
11,臺北市,1997/09/29,大同,8.4,4.48,-,-,41,-,217.82,172.26,45.56,3.866,1.76,2.11,21.82,-,-,68.0
12,臺北市,1997/09/29,萬華,4.0,1.14,12.2,-,-,-,39.59,6.4,33.2,-,-,-,20.63,-,-,20.0
13,臺北市,1997/09/29,陽明,1.2,0.21,48.1,-,-,-,1.95,0.02,1.94,-,-,-,17.3,-,100.0,45.0
14,臺北市,1997/09/29,士林,2.1,0.93,14.1,-,24,-,33.87,6.17,27.7,-,-,-,20.64,-,-,24.0
15,臺北市,1997/09/28,松山,3.9,0.85,15.7,-,20,-,43.79,8.18,35.62,-,-,-,19.42,-,-,28.0
16,臺北市,1997/09/28,古亭,1.8,0.83,19.1,-,20,17,39.49,9.78,29.71,2.187,0.12,2.07,18.96,-,-,29.0
17,臺北市,1997/09/28,中山,4.0,1.06,13.8,-,21,-,53.72,15.41,38.31,2.441,0.34,2.1,19.96,-,-,27.0
18,臺北市,1997/09/28,大同,6.2,3.83,-,-,38,-,201.51,153.25,48.26,3.587,1.45,2.13,20.26,-,-,56.0
19,臺北市,1997/09/28,萬華,2.5,0.57,19.2,-,-,-,35.55,5.06,30.49,-,-,-,19.03,-,-,28.0
20,臺北市,1997/09/28,陽明,0.3,0.23,51.9,-,13,-,1.83,0.03,1.8,-,-,-,15.23,-,100.0,46.0
21,臺北市,1997/09/28,士林,1.9,0.78,21.9,-,18,-,29.12,3.68,25.44,-,-,-,19.13,-,-,33.0
22,臺北市,1997/09/27,松山,3.4,0.88,14.7,-,43,-,48.5,11.56,36.95,-,-,-,21.11,-,-,43.0
23,臺北市,1997/09/27,古亭,2.7,0.93,16.4,-,46,33,45.44,13.42,32.02,2.44,0.24,2.2,20.81,-,-,46.0
24,臺北市,1997/09/27,中山,2.5,1.08,14.5,-,47,-,53.61,15.6,38.01,2.628,0.43,2.2,21.76,-,-,47.0
25,臺北市,1997/09/27,大同,7.8,4.9,-,-,46,-,231.6,180.35,51.25,4.348,2.12,2.23,22.28,-,-,80.0
26,臺北市,1997/09/27,萬華,2.4,1.02,18.7,-,-,-,37.05,5.72,31.34,-,-,-,20.76,-,-,53.0
27,臺北市,1997/09/27,陽明,0.4,0.27,48.7,-,17,-,1.73,0.03,1.7,-,-,-,14.71,-,89.0,44.0
28,臺北市,1997/09/27,士林,1.5,0.63,27.9,-,34,-,21.32,2.0,19.31,-,-,-,20.91,-,-,37.0
29,臺北市,1997/09/26,松山,3.6,1.03,12.8,-,46,-,50.85,15.22,35.63,-,-,-,24.12,-,-,46.0
30,臺北市,1997/09/26,古亭,2.3,1.14,11.3,-,49,29,54.92,21.07,33.85,2.547,0.28,2.26,23.96,-,-,49.0
31,臺北市,1997/09/26,中山,3.1,1.08,13.1,-,49,-,52.09,13.92,38.17,2.9,0.39,2.51,25.01,-,-,49.0
32,臺北市,1997/09/26,大同,-,-,-,-,57,-,-,-,-,-,-,-,25.48,-,-,78.0
33,臺北市,1997/09/26,萬華,2.4,1.2,14.1,-,51,-,37.36,5.87,31.5,-,-,-,23.8,-,-,51.0
34,臺北市,1997/09/26,陽明,1.0,0.21,47.2,-,22,-,2.64,0.05,2.59,-,-,-,17.79,-,86.0,50.0
35,臺北市,1997/09/26,士林,3.3,1.07,21.4,-,67,-,42.94,14.54,28.4,-,-,-,23.91,-,-,58.0
