序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/06/30,松山,3.0,0.59,427.29,24.6,23,15,32.17,9.02,23.16,1.35,28.48,79.98
2,臺北市,2014/06/30,古亭,2.7,0.67,-,23.3,30,11,29.26,6.17,23.08,1.43,28.42,85.25
3,臺北市,2014/06/30,中山,2.6,0.81,-,19.4,42,12,38.77,10.57,28.21,1.5,29.08,79.91
4,臺北市,2014/06/30,大同,4.3,1.91,-,-,42,11,74.82,40.91,33.91,-,-,-
5,臺北市,2014/06/30,萬華,-,-,-,-,-,-,-,-,-,-,-,-
6,臺北市,2014/06/30,陽明,1.7,0.15,405.87,31.2,16,13,6.39,1.31,5.08,-,23.79,92.68
7,臺北市,2014/06/30,士林,2.5,0.49,-,23.8,28,15,23.72,5.42,18.31,1.61,28.79,78.97
8,臺北市,2014/06/29,松山,4.8,0.43,426.82,23.1,40,22,20.75,4.45,16.29,1.48,29.38,76.98
9,臺北市,2014/06/29,古亭,3.0,0.45,-,21.4,48,19,21.43,3.97,17.46,1.64,29.37,79.76
10,臺北市,2014/06/29,中山,4.4,0.53,-,19.4,55,20,26.95,6.52,20.43,1.65,30.0,76.79
11,臺北市,2014/06/29,大同,4.4,1.32,-,-,57,17,58.59,31.21,27.38,-,-,-
12,臺北市,2014/06/29,萬華,4.4,0.51,-,20.5,43,24,24.59,4.47,20.12,1.39,29.91,77.69
13,臺北市,2014/06/29,陽明,2.1,0.11,406.15,26.2,17,13,4.89,1.5,3.4,-,24.11,90.06
14,臺北市,2014/06/29,士林,3.8,0.3,-,26.0,38,24,14.55,2.23,12.32,1.74,29.97,74.74
15,臺北市,2014/06/28,松山,6.5,0.57,436.4,30.7,56,30,26.67,3.86,22.81,1.49,29.61,76.36
16,臺北市,2014/06/28,古亭,6.5,0.65,-,26.3,60,29,30.8,5.22,25.58,1.66,30.13,76.13
17,臺北市,2014/06/28,中山,7.2,0.78,-,29.3,80,31,40.72,9.6,31.12,1.55,30.56,74.86
18,臺北市,2014/06/28,大同,6.5,1.32,-,-,71,25,60.97,23.34,37.63,-,-,-
19,臺北市,2014/06/28,萬華,5.4,0.67,-,29.4,57,34,33.95,5.21,28.74,1.38,30.55,75.1
20,臺北市,2014/06/28,陽明,2.5,0.17,408.16,42.0,31,24,6.36,1.15,5.21,-,23.88,93.78
21,臺北市,2014/06/28,士林,3.8,0.45,-,35.0,50,27,18.89,2.61,16.28,1.61,30.49,73.05
22,臺北市,2014/06/27,松山,5.6,0.62,432.94,25.7,45,25,30.45,8.1,22.35,1.49,30.33,71.16
23,臺北市,2014/06/27,古亭,4.4,0.57,-,24.0,46,22,28.0,5.23,22.76,1.65,30.63,71.64
24,臺北市,2014/06/27,中山,4.5,0.77,-,17.8,62,21,36.19,10.2,25.99,1.89,30.94,71.69
25,臺北市,2014/06/27,大同,4.4,1.6,-,-,64,17,65.62,32.43,33.19,-,-,-
26,臺北市,2014/06/27,萬華,4.3,0.68,-,22.7,46,22,30.72,7.24,23.47,1.44,31.07,71.57
27,臺北市,2014/06/27,陽明,1.7,0.1,402.51,36.7,23,17,5.39,1.41,3.99,-,24.41,89.44
28,臺北市,2014/06/27,士林,2.9,0.44,-,14.9,33,17,20.33,4.23,16.1,1.85,30.05,74.78
29,臺北市,2014/06/26,松山,4.7,0.67,434.01,15.4,40,17,38.08,14.88,23.2,1.55,29.79,73.42
30,臺北市,2014/06/26,古亭,2.6,0.59,-,17.6,41,15,28.61,8.59,20.02,1.89,30.4,72.46
31,臺北市,2014/06/26,中山,4.2,0.88,-,14.3,58,19,45.97,17.52,28.45,1.51,30.85,70.89
32,臺北市,2014/06/26,大同,4.4,2.02,-,-,58,14,80.08,45.96,34.13,-,-,-
33,臺北市,2014/06/26,萬華,3.7,0.73,-,18.4,28,17,32.79,10.0,22.78,1.44,30.95,70.46
34,臺北市,2014/06/26,陽明,1.7,0.14,401.46,27.5,19,12,6.51,0.97,5.55,-,23.8,92.32
35,臺北市,2014/06/26,士林,2.4,0.44,-,17.9,43,16,22.75,5.98,16.77,1.91,30.11,73.02
36,臺北市,2014/06/25,松山,2.5,0.67,449.36,9.4,33,19,39.78,16.32,23.46,1.35,28.21,82.1
37,臺北市,2014/06/25,古亭,2.2,0.7,-,11.7,37,12,34.12,11.94,22.18,1.36,28.33,87.41
38,臺北市,2014/06/25,中山,2.8,0.89,-,11.8,53,15,48.01,19.21,28.8,1.68,28.88,81.91
39,臺北市,2014/06/25,大同,4.0,2.08,-,-,52,12,95.46,60.72,34.74,-,-,-
40,臺北市,2014/06/25,萬華,1.9,0.74,-,12.4,30,15,38.22,12.31,25.9,1.34,28.8,82.6
41,臺北市,2014/06/25,陽明,5.0,0.14,397.17,23.2,20,13,6.09,0.95,5.12,-,23.04,96.86
42,臺北市,2014/06/25,士林,2.6,0.49,-,17.2,29,16,24.12,4.46,19.67,1.62,28.76,80.01
43,臺北市,2014/06/24,松山,2.9,0.6,460.73,12.9,26,10,36.44,12.36,24.08,1.55,27.7,80.7
44,臺北市,2014/06/24,古亭,2.2,0.65,-,12.1,38,10,32.58,10.38,22.2,1.45,27.96,84.76
45,臺北市,2014/06/24,中山,3.3,0.89,-,9.4,48,12,48.83,18.76,30.07,1.38,28.54,79.68
46,臺北市,2014/06/24,大同,3.3,1.44,-,-,43,8,62.03,32.77,29.26,-,-,-
47,臺北市,2014/06/24,萬華,2.5,0.65,-,13.1,30,12,32.25,8.47,23.78,1.4,28.47,80.13
48,臺北市,2014/06/24,陽明,1.1,0.1,392.88,25.4,13,8,3.55,0.96,2.59,-,21.94,98.88
49,臺北市,2014/06/24,士林,1.9,0.31,-,21.8,27,9,15.58,3.18,12.39,2.12,28.3,78.36
50,臺北市,2014/06/23,松山,1.4,0.6,470.5,15.0,29,12,35.01,11.58,23.43,1.36,27.92,82.57
51,臺北市,2014/06/23,古亭,2.3,0.61,-,15.3,31,11,28.87,8.09,20.78,1.29,28.21,86.7
52,臺北市,2014/06/23,中山,1.9,0.8,-,11.4,49,13,41.45,15.43,26.03,1.56,28.8,81.45
53,臺北市,2014/06/23,大同,3.4,1.83,-,-,53,11,71.32,40.87,30.44,-,-,-
54,臺北市,2014/06/23,萬華,2.3,0.61,-,15.5,26,14,28.01,6.62,21.39,1.35,28.86,80.9
55,臺北市,2014/06/23,陽明,1.7,0.14,397.47,24.3,14,10,6.75,2.23,4.51,-,22.7,97.69
56,臺北市,2014/06/23,士林,2.2,0.43,-,16.5,28,12,20.8,4.58,16.22,2.01,28.4,81.48
57,臺北市,2014/06/22,松山,2.8,0.54,473.12,20.4,34,18,26.58,6.37,20.21,1.2,28.31,82.5
58,臺北市,2014/06/22,古亭,3.0,0.65,-,16.5,44,19,31.7,8.45,23.24,1.28,28.7,85.79
59,臺北市,2014/06/22,中山,3.2,0.69,-,15.3,58,17,36.62,8.79,27.83,1.31,28.83,83.43
60,臺北市,2014/06/22,大同,4.0,1.3,-,-,53,15,70.25,37.85,32.41,-,-,-
61,臺北市,2014/06/22,萬華,3.7,0.71,-,14.8,32,18,38.12,9.12,29.0,1.24,28.93,83.23
62,臺北市,2014/06/22,陽明,1.9,0.14,401.97,28.5,16,11,6.36,1.81,4.56,-,23.31,96.67
63,臺北市,2014/06/22,士林,3.8,0.47,-,18.2,37,17,22.65,4.28,18.37,1.51,28.27,83.29
